field_manufacturer,title,field_category,field_module_size,field_location,field_stock,field_available,field_quantity,field_date_scraped,field_supplier,field_url,field_price,field_moq
Viridian Clearline," 6.0kW 1ph Inverter, 2 MPPT, With DC",Inverter,,UK,0,0,0,15/12/2024 09:16:24,ESTG,https://www.alternergy.co.uk/products/solar-inverters/viridian-clearline-inverter-6-0kw-1ph-inverter-2-mppt-with-dc,546.09,0
Sungrow, 6kW Single Phase Hybrid Inverter - Dual Tracker,Inverter,,UK,Yes,0,4,15/12/2024 09:16:31,ESTG,https://www.alternergy.co.uk/products/solar-inverters/sungrow-6kw-single-phase-hybrid-inverter-dual-tracker,632.49,4
Sungrow, 6kW Single Phase String Inverter - Dual Tracker,Inverter,,UK,Yes,0,4,15/12/2024 09:16:38,ESTG,https://www.alternergy.co.uk/products/solar-inverters/sungrow-6kw-single-phase-string-inverter-dual-tracker,446.05,4
Huawei, SUN2000-6K-MAP0 3ph Hybrid Inverter,Inverter,,UK,0,0,0,15/12/2024 09:16:46,ESTG,https://www.alternergy.co.uk/products/solar-inverters/huawei-sun2000-6k-map0-3ph-hybrid-inverter,877.64,0
Growatt," MOD 6.0kW TL3-XH BP, 3ph, HV, Hybrid Inverter",Inverter,,UK,Yes,0,4,15/12/2024 09:16:53,ESTG,https://www.alternergy.co.uk/products/solar-inverters/growatt-mod-6kw-tl3-xh-bp-3ph-hybrid-inverter,629.01,4
Fox ESS, H1 G2 6.0kW 1ph Hybrid Inverter,Inverter,,UK,Yes,0,6,15/12/2024 09:17:00,ESTG,https://www.alternergy.co.uk/products/solar-inverters/fox-ess-h1-g2-6kw-1ph-hybrid-inverter,656.29,6
Growatt," MOD 7kW TL3-X 3ph Inverter, 2 Mppt With DC",Inverter,,UK,0,03/10/2024,0,15/12/2024 09:17:08,ESTG,https://www.alternergy.co.uk/products/solar-inverters/growatt-mod-7kw-tl3x-3ph-dc,475.94,0
Growatt," MOD 7.0kW TL3-XH BP, 3ph, HV, Hybrid Inverter",Inverter,,UK,Yes,0,5,15/12/2024 09:17:16,ESTG,https://www.alternergy.co.uk/products/solar-inverters/growatt-mod-7kw-tl3-xh-bp-3ph-hybrid-inverter,684.87,5
SMA, Sunny Tripower STP8.0-3AV-40 Three Phase Inverter,Inverter,,UK,Yes,0,3,15/12/2024 09:17:23,ESTG,https://www.alternergy.co.uk/products/solar-inverters/sma-sunny-tripower-3ph-stp8-3av-40,769.00,3
Growatt," MOD 8kW TL3-X 3ph Inverter, 2 Mppt With DC",Inverter,,UK,0,0,0,15/12/2024 09:17:30,ESTG,https://www.alternergy.co.uk/products/solar-inverters/growatt-mod-8kw-tl3x-3ph-dc,491.59,0
Huawei, SUN2000-8K-MAP0 3ph Hybrid Inverter,Inverter,,UK,Yes,0,13,15/12/2024 09:17:37,ESTG,https://www.alternergy.co.uk/products/solar-inverters/huawei-sun2000-8k-map0-3ph-hybrid-inverter,"1,039.75",13
Growatt," MOD 8.0kW TL3-XH, 3ph, HV, Hybrid Inverter",Inverter,,UK,Yes,0,6,15/12/2024 09:17:44,ESTG,https://www.alternergy.co.uk/products/solar-inverters/growatt-mod-8kw-tl3-xh-bp-3ph-hybrid-inverter,694.92,6
Fox ESS, KH 8kW 1ph Hybrid Inverter,Inverter,,UK,Yes,0,2,15/12/2024 09:17:51,ESTG,https://www.alternergy.co.uk/products/solar-inverters/fox-ess-kh-8kw-1ph-hybrid-inverter,842.70,2
Growatt," MOD 9kW TL3-X 3ph Inverter, 2 Mppt With DC",Inverter,,UK,0,0,0,15/12/2024 09:17:59,ESTG,https://www.alternergy.co.uk/products/solar-inverters/growatt-mod-9kw-tl3x-3ph-dc,522.87,0
Growatt," MOD 10kW TL3-X 3ph Inverter, 2 Mppt With DC",Inverter,,UK,Yes,0,1,15/12/2024 09:18:06,ESTG,https://www.alternergy.co.uk/products/solar-inverters/growatt-mod-10kw-tl3x-3ph-dc,538.51,1
Solplanet," 10.0kW, 3ph 2MPPT Inverter, WiFi-Stick, With DC",Inverter,,UK,Yes,0,5,15/12/2024 09:18:13,ESTG,https://www.alternergy.co.uk/products/solar-inverters/solplanet-aswltg2-10kw-3ph-2mppt-inverter-stick-dc,349.00,5
Growatt," SPA 10000 TL3 BH-UP, 10kW, 3ph, AC Coupled Inverter",Inverter,,UK,Yes,0,1,15/12/2024 09:18:20,ESTG,https://www.alternergy.co.uk/products/solar-inverters/growatt-spa-10000-tl3-bhup-ac-coupled-inverter,"1,199.92",1
Growatt," SPH 10000 TL3 BH-UP, 10kW, 3ph, Hybrid Inverter",Inverter,,UK,Yes,0,1,15/12/2024 09:18:27,ESTG,https://www.alternergy.co.uk/products/solar-inverters/growatt-sph-10000-tl3-bhup-hybrid-inverter,961.95,1
Huawei, SUN2000-10K-MAP0 3ph Hybrid Inverter,Inverter,,UK,Yes,0,14,15/12/2024 09:18:34,ESTG,https://www.alternergy.co.uk/products/solar-inverters/huawei-sun2000-10k-map0-3ph-hybrid-inverter,"1,167.60",14
Growatt," MOD 10kW TL3-XH BP, 3ph, HV, Hybrid Inverter",Inverter,,UK,Yes,0,2,15/12/2024 09:18:41,ESTG,https://www.alternergy.co.uk/products/solar-inverters/growatt-mod-10kw-tl3-xh-bp-3ph-hybrid-inverter,722.85,2
